0,CombatZoneResize,239,226,404,391,TLResume,,,,
0,BoneV,$XL,$YB,$HeightB,0,$SpeedL,,,,
0,BoneV,$XR,282,$HeightT,2,$SpeedR,,,,
0,BoneV,$XR,$YB,$HeightB,2,$SpeedR,,,,
0,MUL,TotalInc,$Choice,5,,,,,,
0,ADD,Total,$Total,$TotalInc,,,,,,
0,ADD,Loop2,$Loop2,1,,,,,,
0,JMPL,Attack2Begin,$Loop2,4,,,,,,
1.9,JMPABS,RndAttack,,,,,,,,
0,:Attack3,,,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,,,
0,HeartMode,1,,,,,,,,
0,HeartTeleport,320,376,,,,,,,
0,BoneVRepeat,175,282,75,0,250,7,150,,
0,BoneVRepeat,175,371,15,0,250,7,150,,
0,BoneVRepeat,465,282,75,2,250,7,150,,
0,BoneVRepeat,465,371,15,2,250,7,150,,
1.7,JMPABS,RndAttack,,,,,,,,
0,:Attack4,,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,
0,HeartMode,1,,,,,,,,
0,RND,Side,2,,,,,,,
0,JMPZ,Attack4Other,$Side,,,,,,,
0,HeartTeleport,506,376,,,,,,,
0,BoneVRepeat,200,331,55,0,400,15,24,,
0,BoneVRepeat,-160,371,15,0,400,10,24,,
1.5,JMPABS,RndAttack,,,,,,,,
0,:Attack4Other,,,,,,,,,
0,HeartTeleport,149,376,,,,,,,
0,BoneVRepeat,440,331,55,2,400,15,24,,
0,BoneVRepeat,800,371,15,2,400,10,24,,
1.5,JMPABS,RndAttack,,,,,,,,
0,:Attack5,,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,
0,HeartMode,1,,,,,,,,
0,HeartTeleport,330,304,,,,,,,
0,Platform,309,314,21,0,0,,,,
0,Platform,309,354,21,0,0,,,,
0,BoneVRepeat,121,364,30,2,0,25,16,,
0,RND,Side,2,,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,,
0,BoneVRepeat,521,280,35,2,240,3,15,,
0,BoneVRepeat,1,319,65,0,240,3,15,,
0,BoneVRepeat,721,280,35,2,240,3,15,,
0,BoneVRepeat,-199,319,65,0,240,3,15,,
2.5,JMPABS,RndAttack,,,,,,,,
0,:Attack5Other,,,,,,,,,
0,BoneVRepeat,119,280,35,0,240,3,15,,
0,BoneVRepeat,639,319,65,2,240,3,15,,
0,BoneVRepeat,-81,280,35,0,240,3,15,,
0,BoneVRepeat,839,319,65,2,240,3,15,,
2.5,JMPABS,RndAttack,,,,,,,,
0,:Attack6,,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,,
0,HeartMode,0,,,,,,,,
0,HeartTeleport,320,304,,,,,,,
0,RND,Rot,2,,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,,
0,GasterBlaster,1,191,306,191,306,0,0.6,0.2,0
0,GasterBlaster,1,321,166,321,166,90,0.6,0.2,0
0,GasterBlaster,1,449,306,449,306,180,0.6,0.2,0
0,GasterBlaster,1,321,446,321,446,270,0.6,0.2,0
0,GasterBlaster,1,320,0,191,176,45,0.7,0.2,0
0,GasterBlaster,1,320,0,451,176,135,0.7,0.2,0
0,GasterBlaster,1,320,0,451,436,225,0.7,0.2,0
0,GasterBlaster,1,320,0,191,436,315,0.7,0.2,0
0.5,GasterBlaster,1,320,0,191,306,0,0.7,1,0
0,GasterBlaster,1,320,0,321,166,90,0.7,1,0
0,GasterBlaster,1,320,0,449,306,180,0.7,1,0
0,GasterBlaster,1,320,0,321,446,270,0.7,1,0
1.7,JMPABS,RndAttack,,,,,,,,
0,:Attack6Other,,,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.6,0.2,0
0,GasterBlaster,1,451,176,451,176,135,0.6,0.2,0
0,GasterBlaster,1,451,436,451,436,225,0.6,0.2,0
0,GasterBlaster,1,191,436,191,436,315,0.6,0.2,0
0,GasterBlaster,1,320,0,191,306,0,0.7,0.2,0
0,GasterBlaster,1,320,0,321,166,90,0.7,0.2,0
0,GasterBlaster,1,320,0,449,306,180,0.7,0.2,0
0,GasterBlaster,1,320,0,321,446,270,0.7,0.2,0
0.5,GasterBlaster,1,320,0,191,176,45,0.7,1,0
0,GasterBlaster,1,320,0,451,176,135,0.7,1,0
0,GasterBlaster,1,320,0,451,436,225,0.7,1,0
0,GasterBlaster,1,320,0,191,436,315,0.7,1,0
1.7,JMPABS,RndAttack,,,,,,,,
0,:Attack7,,,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,,
0,HeartMode,0,,,,,,,,
0,RND,Side,2,,,,,,,
0,JMPZ,Attack7Other,$Side,,,,,,,
0,HeartTeleport,382,304,,,,,,,
0,SineBones,32,-20,500,55,,,,,
2,JMPABS,RndAttack,,,,,,,,
0,:Attack7Other,,,,,,,,,
0,HeartTeleport,267,304,,,,,,,
0,SineBones,32,20,500,55,,,,,
2,JMPABS,RndAttack,,,,,,,,
0,:Attack8,,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,
0,HeartMode,1,,,,,,,,
0,RND,Side,2,,,,,,,
0,JMPZ,Attack8Other,$Side,,,,,,,
0,HeartTeleport,489,376,,,,,,,
0,BoneVRepeat,345,354,30,0,180,17,90,,
0,BoneVRepeat,297,280,82,2,180,17,90,,
3,JMPABS,RndAttack,,,,,,,,
0,:Attack8Other,,,,,,,,,
0,HeartTeleport,168,376,,,,,,,
0,BoneVRepeat,297,354,30,2,180,17,90,,
0,BoneVRepeat,345,280,82,0,180,17,90,,
3,JMPABS,RndAttack,,,,,,,,
0,:End,,,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,,
0,EndAttack,,,,,,,,,
